"day","max.temp"
"1",51
"2",46
"3",49
"4",57
"5",27
"6",19
"7",22
"8",31
"9",27
"10",29
"11",35
"12",24
"13",29
"14",24
"15",29
"16",30
"17",28
"18",42
"19",38
"20",23
"21",24
"22",25
"23",22
"24",22
"25",3
"26",0
"27",4
"28",11
"29",7
"30",-6
"31",-8
