"mid","final"
98,100
71,75
68,80
67,76
76,92
68,70
72,81
85,80
88,98
51,66
57,66
80,96
94,88
84,84
67,74
84,97
94,96
86,96
79,76
93,100
81,88
81,81
98,100
93,86
80,83
75,69
109,100
95,92
82,92
88,97
99,99
67,76
78,74
90,94
48,59
80,83
92,96
68,75
81,79
80,70
81,88
88,93
