"DistNum","DistName","FreeLunch","AvgMCA"
271,"BLOOMINGTON PUBLIC SCHOOL DISTRICT",0.282634730538922,1148.3
272,"EDEN PRAIRIE PUBLIC SCHOOL DISTRICT",0.14343163538874,1154.1
273,"EDINA PUBLIC SCHOOL DISTRICT",0.0828402366863905,1155.1
276,"MINNETONKA PUBLIC SCHOOL DISTRICT",0.0468187274909964,1156.1
277,"WESTONKA PUBLIC SCHOOL DISTRICT",0.131944444444444,1158.1
278,"ORONO PUBLIC SCHOOL DISTRICT",0.0201612903225806,1158.1
279,"OSSEO PUBLIC SCHOOL DISTRICT",0.32720355104629,1146.1
280,"RICHFIELD PUBLIC SCHOOL DISTRICT",0.538194444444444,1141.4
281,"ROBBINSDALE PUBLIC SCHOOL DISTRICT",0.415384615384615,1141.5
282,"ST. ANTHONY-NEW BRIGHTON SCHOOLS",0.108108108108108,1151.9
283,"ST. LOUIS PARK PUBLIC SCHOOL DIST.",0.291105121293801,1142.4
284,"WAYZATA PUBLIC SCHOOL DISTRICT",0.110854503464203,1160
286,"BROOKLYN CENTER SCHOOL DISTRICT",0.47,1134.8
287,"INTERMEDIATE SCHOOL DISTRICT 287",0.651162790697674,1128.2
288,"SOUTHWEST METRO INTERMEDIATE 288",0.516129032258065,1125.8
294,"HOUSTON PUBLIC SCHOOL DISTRICT",0.196969696969697,1142.4
297,"SPRING GROVE SCHOOL DISTRICT",0.16,1147.6
299,"CALEDONIA PUBLIC SCHOOL DISTRICT",0.0847457627118644,1153.5
300,"LA CRESCENT-HOKAH SCHOOL DISTRICT",0.0961538461538462,1147.5
306,"LAPORTE PUBLIC SCHOOL DISTRICT",0.45,1143.5
308,"NEVIS PUBLIC SCHOOL DISTRICT",0.333333333333333,1147.9
309,"PARK RAPIDS PUBLIC SCHOOL DISTRICT",0.314285714285714,1140.3
314,"BRAHAM PUBLIC SCHOOL DISTRICT",0.14,1147.3
316,"GREENWAY PUBLIC SCHOOL DISTRICT",0.301369863013699,1145.2
317,"DEER RIVER PUBLIC SCHOOL DISTRICT",0.563636363636364,1145.1
318,"GRAND RAPIDS PUBLIC SCHOOL DISTRICT",0.259375,1144.8
319,"NASHWAUK-KEEWATIN SCHOOL DISTRICT",0.333333333333333,1140.4
330,"HERON LAKE-OKABENA SCHOOL DISTRICT",0.114285714285714,1142.5
332,"MORA PUBLIC SCHOOL DISTRICT",0.353448275862069,1145.1
333,"OGILVIE PUBLIC SCHOOL DISTRICT",0.45,1143.3
345,"NEW LONDON-SPICER SCHOOL DISTRICT",0.145833333333333,1150
347,"WILLMAR PUBLIC SCHOOL DISTRICT",0.455696202531646,1144.2
356,"LANCASTER PUBLIC SCHOOL DISTRICT",0.214285714285714,1141.5
361,"INTERNATIONAL FALLS SCHOOL DISTRICT",0.173469387755102,1149
362,"LITTLEFORK-BIG FALLS SCHOOL DIST.",0.153846153846154,1151.7
363,"SOUTH KOOCHICHING SCHOOL DISTRICT",0.235294117647059,1145.9
378,"DAWSON-BOYD PUBLIC SCHOOL DISTRICT",0.181818181818182,1145
381,"LAKE SUPERIOR PUBLIC SCHOOL DIST.",0.108108108108108,1146.7
390,"LAKE OF THE WOODS SCHOOL DISTRICT",0.181818181818182,1146.2
391,"CLEVELAND PUBLIC SCHOOL DISTRICT",0.0731707317073171,1149.6
413,"MARSHALL PUBLIC SCHOOL DISTRICT",0.319327731092437,1144.2
414,"MINNEOTA PUBLIC SCHOOL DISTRICT",0.226415094339623,1152.4
423,"HUTCHINSON PUBLIC SCHOOL DISTRICT",0.159183673469388,1149.3
424,"LESTER PRAIRIE PUBLIC SCHOOL DIST.",0.181818181818182,1149.9
432,"MAHNOMEN PUBLIC SCHOOL DISTRICT",0.522727272727273,1140.1
435,"WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH",0.636363636363636,1138.8
441,"MARSHALL COUNTY CENTRAL SCHOOLS",0.212121212121212,1146.3
447,"GRYGLA PUBLIC SCHOOL DISTRICT",0.266666666666667,1141.2
458,"TRUMAN PUBLIC SCHOOL DISTRICT",0.15,1135.1
463,"EDEN VALLEY-WATKINS SCHOOL DISTRICT",0.144736842105263,1156.9
465,"LITCHFIELD PUBLIC SCHOOL DISTRICT",0.161616161616162,1149
466,"DASSEL-COKATO PUBLIC SCHOOL DIST.",0.164835164835165,1148.2
473,"ISLE PUBLIC SCHOOL DISTRICT",0.365384615384615,1140.1
477,"PRINCETON PUBLIC SCHOOL DISTRICT",0.176923076923077,1147.5
480,"ONAMIA PUBLIC SCHOOL DISTRICT",0.547169811320755,1145.3
482,"LITTLE FALLS PUBLIC SCHOOL DISTRICT",0.232673267326733,1145.3
484,"PIERZ PUBLIC SCHOOL DISTRICT",0.24468085106383,1144.2
485,"ROYALTON PUBLIC SCHOOL DISTRICT",0.169491525423729,1148.5
486,"SWANVILLE PUBLIC SCHOOL DISTRICT",0.05,1148.3
487,"UPSALA PUBLIC SCHOOL DISTRICT",0.208333333333333,1137.4
492,"AUSTIN PUBLIC SCHOOL DISTRICT",0.358904109589041,1143.8
495,"GRAND MEADOW PUBLIC SCHOOL DISTRICT",0.25,1143.3
497,"LYLE PUBLIC SCHOOL DISTRICT",0.173913043478261,1143.1
499,"LEROY-OSTRANDER PUBLIC SCHOOLS",0.157894736842105,1143.5
500,"SOUTHLAND PUBLIC SCHOOL DISTRICT",0.0588235294117647,1151
505,"FULDA PUBLIC SCHOOL DISTRICT",0.206896551724138,1139.1
508,"ST. PETER PUBLIC SCHOOL DISTRICT",0.248366013071895,1151.3
511,"ADRIAN PUBLIC SCHOOL DISTRICT",0.0540540540540541,1149
518,"WORTHINGTON PUBLIC SCHOOL DISTRICT",0.429824561403509,1139.9
531,"BYRON PUBLIC SCHOOL DISTRICT",0.0774647887323944,1151.7
533,"DOVER-EYOTA PUBLIC SCHOOL DISTRICT",0.148148148148148,1152.5
534,"STEWARTVILLE PUBLIC SCHOOL DISTRICT",0.142857142857143,1157.3
535,"ROCHESTER PUBLIC SCHOOL DISTRICT",0.255650818394388,1145.2
542,"BATTLE LAKE PUBLIC SCHOOL DISTRICT",0.131578947368421,1148.1
544,"FERGUS FALLS PUBLIC SCHOOL DISTRICT",0.167420814479638,1147.4
545,"HENNING PUBLIC SCHOOL DISTRICT",0.21875,1151.3
547,"PARKERS PRAIRIE PUBLIC SCHOOL DIST.",0.177777777777778,1154.3
